text,cities
عاوز اركب من طنطا للقاهرة,طنطا|القاهرة
عايز اروح شبين الكوم من طنطا,طنطا|شبين الكوم
ممكن اركب ميكروباص من الزقازيق للاسكندرية,الزقازيق|الاسكندرية
ازاي اوصل من الجيزة للفيوم,الجيزة|الفيوم
هو في مواصلات من بنها للمنصورة؟,بنها|المنصورة
لو سمحت عاوز اروح الغردقة من اسوان,اسوان|الغردقة
فين اقرب طريق من دمنهور لسوهاج,دمنهور|سوهاج
نفسي اسافر من الاقصر لشرم الشيخ,الاقصر|شرم الشيخ
اركب ايه من حلوان للمحلة الكبرى,حلوان|المحلة الكبرى
ازاي اروح من المنيا للسويس,المنيا|السويس
من مطروح لطنطا في مواصلات؟,مطروح|طنطا
ايه افضل طريق من كفر الشيخ لبني سويف,كفر الشيخ|بني سويف
لو سمحت عاوز اروح من اسوان لقنا,اسوان|قنا
محتاج اروح من الاسماعيلية للغربية,الاسماعيلية|الغربية
فين اقرب محطة من دمياط للشرقية,دمياط|الشرقية
انا في بورسعيد وعاوز اروح الفيوم,بورسعيد|الفيوم
تنصحني اخد اي طريق من اسيوط لمطروح,اسيوط|مطروح
ازاي اروح من البحيرة للدقهلية,البحيرة|الدقهلية
اركب من سوهاج للاسكندرية ازاي؟,سوهاج|الاسكندرية
من اكتوبر للمنصورة,اكتوبر|المنصورة
من القاهرة للمنيا,القاهرة|المنيا
